Name,Industry,Segment,Criticality,IndustryTags,OwnerHints,MinimumEmployees,PrimaryDomain
Grainger,Industrial Supply,OperationalSupplier,Medium,Manufacturing|Industrials|Distribution,Procurement|Operations,50,grainger.com
Fastenal,Industrial Supply,OperationalSupplier,Medium,Manufacturing|Industrials|Distribution,Procurement|Operations,50,fastenal.com
McMaster-Carr,Industrial Supply,OperationalSupplier,Medium,Manufacturing|Industrials|Technology,Procurement|Engineering,50,mcmaster.com
WESCO,Industrial Distribution,OperationalSupplier,Medium,Manufacturing|Industrials|Distribution,Procurement|Operations,250,wesco.com
Rockwell Automation,Industrial Automation,StrategicSupplier,High,Manufacturing|Industrials,Operations|Engineering,250,rockwellautomation.com
Siemens Digital Industries,Industrial Automation,StrategicSupplier,High,Manufacturing|Industrials,Operations|Engineering,250,siemens.com
AVEVA,Industrial Software,StrategicSupplier,High,Manufacturing|Industrials|Energy,Operations|Engineering,500,aveva.com
Blue Yonder,Supply Chain Software,StrategicSupplier,High,Manufacturing|Distribution|Retail,Operations|Procurement,500,blueyonder.com
Kinaxis,Supply Chain Planning,StrategicSupplier,High,Manufacturing|Distribution,Operations|Procurement,500,kinaxis.com
FedEx,Logistics,LogisticsProvider,Medium,All,Operations|Procurement,50,fedex.com
UPS,Logistics,LogisticsProvider,Medium,All,Operations|Procurement,50,ups.com
ADP,Payroll Services,SharedServiceProvider,High,All,Finance|Human Resources,100,adp.com
UKG,Workforce Technology,SharedServiceProvider,High,All,Human Resources|Information Technology,250,ukg.com
Accenture,Professional Services,ManagedServiceProvider,Medium,All,Information Technology|Operations,250,accenture.com
Deloitte,Professional Services,ManagedServiceProvider,Medium,All,Finance|Information Technology,250,deloitte.com
Kyndryl,Managed Infrastructure,ManagedServiceProvider,Medium,All,Information Technology|Operations,500,kyndryl.com
CDW,Technology Reseller,TechnologySupplier,Medium,All,Information Technology|Procurement,100,cdw.com
SHI International,Technology Reseller,TechnologySupplier,Medium,All,Information Technology|Procurement,100,shi.com
Snowflake,Data Platform,TechnologySupplier,Medium,All,Information Technology|Analytics,250,snowflake.com
Datadog,Observability,TechnologySupplier,Medium,All,Information Technology|Operations,250,datadoghq.com
Palo Alto Networks,Cybersecurity,TechnologySupplier,High,All,Security|Information Technology,250,paloaltonetworks.com
CrowdStrike,Cybersecurity,TechnologySupplier,High,All,Security|Information Technology,250,crowdstrike.com
Epic,Healthcare IT,StrategicSupplier,High,Healthcare|Health|Medical,Operations|Information Technology,500,epic.com
Oracle Health,Healthcare IT,StrategicSupplier,High,Healthcare|Health|Medical,Operations|Information Technology,500,oracle.com
Fiserv,Financial Technology,StrategicSupplier,High,Finance|Financials|Bank|Insurance,Finance|Operations,500,fiserv.com
Broadridge,Financial Services,StrategicSupplier,High,Finance|Financials|Bank|Insurance,Finance|Operations,500,broadridge.com
